Root,AvgRanking,ReliableUsersPercentage,MinUserScore,MaxuserScore,WeightedScore,AvgPageRank,AvgDegreeCentrality,AvgClosenessCentrality
politifact14174,0.9208465724455089,0.0,0.5411559361424587,1.2454184307101364,26.399119782470333,0.0302986539521284,0.027902209069671433,0.3776143110598968
politifact809,1.1023225480269796,0.1111111111111111,0.4592829404796062,6.343832765021012,73.34911335927359,0.004877531025296851,0.004395584808560977,0.4240646570516197
politifact12801,0.9533788859128048,0.0,0.4255500286292972,1.0,50.576233922855,0.027605173104339378,0.02633469030606068,0.262758348756289
politifact13283,0.9930578656149401,0.01020408163265306,0.4459025446098223,3.043372755201749,88.83246906451826,0.010258634442247394,0.009295209142695524,0.3963132537152956
politifact6360,0.9531066753825274,0.030303030303030304,0.6234585166180697,1.5469145917046985,52.956099117566964,0.013516729670383334,0.012293898587157123,0.36102283386590184
politifact6932,0.9745795564569208,0.0,0.6477150880566439,1.2485776005152345,29.48719959311414,0.024408832484280916,0.02203048414967957,0.44261334251292805
politifact5321,0.883764501457692,0.0,0.6434506702072005,1.0,8.231709292575989,0.10714786791716445,0.10129792130589088,0.380004486778468
politifact65,1.0781258921248547,0.020833333333333332,0.5264081845560085,7.542531259814682,41.09515006207461,0.02525311382905054,0.02368316737568263,0.2755350717106572
politifact2128,0.9377671815603653,0.0,0.632653016485637,1.0,20.2843225879442,0.047163644687553845,0.04309239581966851,0.4067156452896387
politifact6998,0.955608149840214,0.0,0.5242207704330692,1.235628927430439,283.98692418265466,0.0028540815544430085,0.0027316648211739877,0.27581837661428843
politifact3527,1.0,0.0,1.0,1.0,7.0,0.2310186552747326,0.22292310863739426,0.4458078269817688
politifact581,0.7296055967150259,0.012987012987012988,0.4694303459896545,3.016272208651932,60.1210952531774,0.009383238866008017,0.009073602563675308,0.16663190686755325
politifact10533,0.9840131934248926,0.0,0.6296137577999217,1.0,44.632303448772525,0.03297718793305655,0.031140021218228144,0.2710545873379233
