User ID,True News,False News,Total News
14200465,6,0,6
18244561,7,0,7
12006852,1,0,1
16598913,1,0,1
9335232,5,0,5
44169939,2,0,2
14779167,1,0,1
95251635,1,0,1
91033243,1,0,1
17345738,7,0,7
49747256,2,0,2
46766221,10,0,10
33056929,10,0,10
43928845,1,0,1
15731447,1,0,1
40375940,1,0,1
19183630,1,0,1
76572071,1,0,1
48596615,1,0,1
45459750,1,0,1
10778572,1,0,1
117526508,1,0,1
115331124,1,0,1
31176510,9,0,9
18856867,1,0,1
18188773,27,0,27
157522636,3,0,3
22825626,1,0,1
134685606,1,0,1
71464781,1,0,1
141094705,1,0,1
33778412,1,0,1
107163814,1,0,1
18207929,1,0,1
164233526,2,0,2
63615980,2,0,2
238256593,6,0,6
16224319,3,0,3
19737759,1,0,1
29766510,2,0,2
85964575,2,0,2
224858422,3,0,3
41626609,1,0,1
174807441,1,0,1
139973240,1,0,1
317920712,2,0,2
333959007,2,0,2
335797143,2,0,2
106728440,1,0,1
206857687,1,0,1
271399768,1,0,1
404137063,1,0,1
199638660,1,0,1
14888467,1,0,1
108605734,1,0,1
63597010,1,0,1
15415774,2,0,2
22280445,2,0,2
772286,1,0,1
18027088,1,0,1
250630587,1,0,1
109277084,1,0,1
132656787,1,0,1
77331827,1,0,1
86376598,1,0,1
279092869,1,0,1
123617604,1,0,1
362961665,1,0,1
14584922,1,0,1
77019386,1,0,1
334333068,1,0,1
16295834,1,0,1
23787981,1,0,1
26472440,1,0,1
197132703,1,0,1
148565166,8,0,8
136480435,4,0,4
21352313,3,0,3
443236101,1,0,1
43905147,3,0,3
14494425,1,0,1
257130750,1,0,1
68858163,1,0,1
23634158,1,0,1
21722870,1,0,1
251265927,5,0,5
192757756,1,0,1
100619822,1,0,1
240998130,1,0,1
350932128,1,0,1
235649014,3,0,3
19658899,1,0,1
20260039,3,0,3
75821770,1,0,1
42105000,1,0,1
165613452,1,0,1
257799434,1,0,1
49059345,1,0,1
20013395,1,0,1
39575316,1,0,1
556599294,1,0,1
22788514,3,0,3
167483521,1,0,1
75139209,1,1,2
566727599,1,0,1
340288328,1,0,1
106274105,1,0,1
217894209,1,0,1
49073672,1,0,1
67859347,1,0,1
348292587,1,0,1
15711966,2,0,2
126737702,2,0,2
148004552,1,0,1
257901774,2,0,2
105027887,1,0,1
184745776,1,0,1
11431072,2,0,2
244991712,5,0,5
483273973,1,0,1
421794008,4,0,4
79353209,1,0,1
36969876,1,0,1
49190063,5,3,8
24516041,1,0,1
355567459,1,0,1
55560080,1,0,1
195188883,7,0,7
54114276,6,0,6
156380393,1,0,1
78534052,3,0,3
176540463,1,0,1
269870449,1,0,1
54551143,1,0,1
495736393,5,0,5
14306087,8,0,8
15940163,1,0,1
24567931,1,0,1
74784937,1,0,1
108083058,1,0,1
48204005,1,0,1
48777160,1,0,1
611321202,1,0,1
556488278,1,0,1
19930357,1,0,1
19376746,2,0,2
15951125,1,0,1
406312064,1,0,1
414119436,1,0,1
14266186,1,0,1
551612657,1,0,1
385833059,1,0,1
7380322,1,0,1
37093155,1,0,1
213781504,1,0,1
45324484,1,0,1
221869667,1,0,1
310988954,1,0,1
